Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request - Quarkus Reactive,100,1276,1248,2054,2280,2452,304,2687,0.000%,7.11896,35.06,1.06
HTTP Request - Quarkus Imperative JDBC,100,1040,1112,1367,1453,1536,238,1598,0.000%,8.76655,1727.14,1.37
HTTP Request - Quarkus Imperative JPA (Native),100,10602,10553,11563,11754,11978,9017,12027,0.000%,.92881,182.99,0.15
HTTP Request - Quarkus Imperative JPA (ORM),100,9653,9535,10267,10789,11119,8661,11205,0.000%,1.02757,202.45,0.15
HTTP Request - Spring Reactive,100,933,929,1299,1396,1423,282,1463,0.000%,9.59693,1888.78,1.43
HTTP Request - Spring Imperative JDBC (Native),100,912,952,1248,1342,1447,207,1453,0.000%,9.94431,1959.98,1.55
HTTP Request - Spring Imperative JDBC (ORM),100,5029,5030,5291,5361,5434,4338,5482,0.000%,1.95568,248.90,0.29
HTTP Request - Spring Imperative JPA (Native),100,10428,10530,11137,11308,11407,7972,11437,0.000%,.93594,184.47,0.15
HTTP Request - Spring Imperative JPA (ORM),100,9763,9784,10067,10147,10229,8965,10264,0.000%,1.01550,200.15,0.15
HTTP Request - Nodejs,100,871,897,1241,1274,1299,225,1390,0.000%,10.09591,1988.63,1.51
TOTAL,1000,5051,2687,10615,10981,11563,207,12027,0.000%,1.93320,330.25,0.29
